State,Season,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Humidity_percent,Irrigation_Type,Previous_Crop,Area_hectare,Crop,Yield_ton_per_hectare
Haryana,Zaid,Loamy,6.77,118,45,105,862,37.92,66,Sprinkler,Jowar,2.77,Moong,6.84
Punjab,Kharif,Black,6.21,49,26,122,261,24.9,54,Rainfed,Groundnut,3.54,Groundnut,3.57
Jammu and Kashmir,Kharif,Black,8.19,119,21,85,464,19.58,43,Canal,Gram,6.93,Arhar,2.54
Chhattisgarh,Rabi,Clay,5.75,88,21,34,1147,30.18,65,Sprinkler,Pea,9.49,Barley,0.72
Rajasthan,Rabi,Loamy,7.84,58,62,51,1409,11.73,60,Rainfed,Rice,1.03,Moong,5.32
Rajasthan,Zaid,Red,7.62,95,18,83,1153,28.55,67,Canal,Pea,1.3,Groundnut,6.67
Haryana,Rabi,Loamy,7.6,46,75,14,228,12.55,48,Rainfed,Rice,6.02,Rice,2.63
Uttar Pradesh,Rabi,Sandy,7.28,55,79,28,644,21.34,68,Tube Well,Cotton,4.53,Cotton,3.53
Uttarakhand,Zaid,Sandy,8.22,58,76,135,1281,32.23,37,Tube Well,Gram,1.62,Barley,6.87
Jharkhand,Rabi,Sandy,7.25,132,34,65,1128,16.71,35,Rainfed,Pea,8.12,Maize,6.7
Madhya Pradesh,Rabi,Alluvial,8.43,80,56,89,1085,37.74,89,Canal,Cotton,1.2,Gram,5.26
Chhattisgarh,Zaid,Black,7.07,68,23,10,1482,37.03,86,Sprinkler,Wheat,9.19,Soybean,4.79
Uttarakhand,Kharif,Alluvial,8.38,35,81,111,1171,13.2,82,Sprinkler,Cotton,3.14,Gram,4.52
Uttarakhand,Rabi,Clay,6.56,47,50,55,1476,38.22,80,Canal,Arhar,7.39,Bajra,3.62
Uttar Pradesh,Zaid,Black,7.34,29,65,39,1465,26.55,34,Tube Well,Maize,0.75,Jowar,5.88
Madhya Pradesh,Zaid,Clay,8.46,30,94,35,262,21.79,88,Rainfed,Maize,8.5,Arhar,1.68
Haryana,Rabi,Alluvial,8.01,117,10,64,717,30.75,34,Canal,Onion,10.0,Mustard,4.06
Punjab,Zaid,Loamy,7.81,102,26,94,1301,16.15,30,Drip,Bajra,9.56,Pea,5.61
Delhi,Kharif,Loamy,7.32,132,41,43,294,13.41,55,Sprinkler,Gram,5.23,Sugarcane,5.39
Punjab,Rabi,Alluvial,6.42,73,14,66,600,14.02,76,Rainfed,Rice,4.5,Onion,3.15
Madhya Pradesh,Rabi,Sandy,7.85,85,84,112,963,39.41,79,Drip,Wheat,6.1,Potato,4.4
Jharkhand,Kharif,Black,8.21,71,47,88,1219,18.94,71,Tube Well,Bajra,8.69,Bajra,2.8
Bihar,Zaid,Black,8.35,93,26,93,1183,11.38,35,Drip,Groundnut,5.18,Groundnut,5.99
Rajasthan,Kharif,Black,6.22,134,32,89,294,22.01,45,Tube Well,Mustard,6.59,Moong,2.81
Madhya Pradesh,Zaid,Clay,6.05,44,76,105,1418,25.46,61,Rainfed,Gram,2.14,Groundnut,4.9
Uttar Pradesh,Rabi,Red,6.03,89,10,142,432,20.68,75,Tube Well,Gram,3.96,Maize,2.94
Jharkhand,Zaid,Red,7.01,64,36,82,993,33.98,86,Tube Well,Onion,7.03,Maize,3.39
Punjab,Rabi,Alluvial,6.63,100,35,45,1480,12.54,64,Drip,Jowar,2.25,Soybean,5.79
Chhattisgarh,Zaid,Loamy,6.13,146,65,23,673,32.8,43,Tube Well,Barley,4.89,Soybean,5.89
Madhya Pradesh,Rabi,Alluvial,8.19,126,27,47,938,21.91,54,Rainfed,Bajra,7.51,Bajra,3.69
Uttar Pradesh,Rabi,Red,6.05,58,66,26,1454,12.68,73,Tube Well,Potato,2.72,Jowar,4.49
Delhi,Rabi,Clay,6.57,128,27,120,427,26.11,63,Drip,Groundnut,5.8,Barley,2.69
Jharkhand,Zaid,Red,7.26,102,51,110,891,29.38,63,Sprinkler,Mustard,2.82,Sugarcane,3.48
Madhya Pradesh,Kharif,Sandy,8.3,40,79,79,823,14.82,40,Sprinkler,Gram,1.33,Pea,3.75
Uttarakhand,Zaid,Clay,7.92,74,18,140,442,10.55,66,Sprinkler,Pea,9.83,Groundnut,3.34
Madhya Pradesh,Zaid,Loamy,8.41,23,88,143,317,17.74,85,Drip,Arhar,7.37,Wheat,2.23
Bihar,Rabi,Sandy,7.96,98,84,145,1249,18.4,73,Drip,Pea,2.45,Mustard,7.33
Uttar Pradesh,Zaid,Clay,7.09,20,99,73,338,37.96,42,Sprinkler,Cotton,5.56,Moong,2.43
Haryana,Kharif,Red,5.66,29,14,147,371,16.05,69,Drip,Bajra,8.19,Groundnut,3.17
Himachal Pradesh,Kharif,Loamy,7.78,57,44,103,1318,37.89,89,Tube Well,Sugarcane,9.67,Onion,3.95
Jharkhand,Kharif,Loamy,5.87,139,84,146,787,21.38,30,Canal,Onion,7.54,Barley,7.68
Jharkhand,Rabi,Loamy,5.92,124,23,69,997,34.75,66,Canal,Jowar,8.24,Moong,5.22
Punjab,Kharif,Black,7.5,81,13,98,1265,21.77,69,Sprinkler,Bajra,4.79,Groundnut,5.63
Jammu and Kashmir,Zaid,Red,7.37,116,32,72,342,27.32,46,Tube Well,Rice,9.05,Onion,4.31
Bihar,Kharif,Black,6.65,72,60,48,397,38.19,36,Tube Well,Rice,7.44,Maize,2.56
Madhya Pradesh,Rabi,Clay,8.14,52,36,47,1320,31.21,56,Sprinkler,Sugarcane,7.57,Moong,4.63
Madhya Pradesh,Kharif,Sandy,5.6,105,75,19,716,36.3,62,Tube Well,Groundnut,1.48,Wheat,1.9
Jammu and Kashmir,Zaid,Clay,6.87,34,38,145,1484,24.59,33,Drip,Gram,7.36,Barley,6.28
Jharkhand,Kharif,Loamy,7.66,114,45,45,993,17.55,34,Sprinkler,Barley,8.35,Wheat,4.95
Rajasthan,Zaid,Sandy,6.18,42,56,99,501,28.45,55,Canal,Gram,6.07,Pea,3.59
Himachal Pradesh,Rabi,Alluvial,7.02,130,69,109,1207,30.9,85,Canal,Pea,0.72,Maize,8.33
Bihar,Rabi,Clay,6.62,70,38,49,978,23.53,75,Sprinkler,Gram,2.74,Soybean,4.9
Uttar Pradesh,Zaid,Loamy,6.0,76,10,72,766,16.82,44,Tube Well,Barley,4.29,Potato,3.26
Delhi,Zaid,Black,7.91,136,35,44,774,22.44,55,Rainfed,Bajra,9.24,Potato,4.35
Jammu and Kashmir,Kharif,Clay,6.54,110,26,137,1138,10.99,88,Rainfed,Moong,1.84,Jowar,6.0
Jammu and Kashmir,Rabi,Clay,6.76,107,42,38,262,18.33,55,Canal,Rice,0.62,Pea,2.23
Punjab,Kharif,Red,7.49,100,93,114,888,26.72,51,Sprinkler,Mustard,1.31,Potato,6.07
Bihar,Rabi,Clay,7.29,142,65,71,231,24.05,78,Drip,Barley,0.85,Arhar,5.0
Madhya Pradesh,Rabi,Sandy,6.92,38,27,10,789,31.42,79,Tube Well,Groundnut,5.48,Mustard,0.72
Madhya Pradesh,Zaid,Alluvial,7.18,82,13,138,1487,35.85,68,Rainfed,Maize,7.66,Potato,4.86
Bihar,Rabi,Clay,6.32,129,43,133,286,39.37,61,Sprinkler,Pea,7.3,Soybean,4.7
Bihar,Rabi,Alluvial,6.17,91,63,76,1274,29.58,76,Sprinkler,Soybean,7.35,Cotton,5.69
Bihar,Rabi,Black,7.92,107,87,41,1343,34.21,45,Drip,Mustard,4.27,Jowar,5.0
Uttar Pradesh,Rabi,Black,6.38,26,83,16,350,35.44,77,Rainfed,Sugarcane,2.22,Bajra,2.93
Rajasthan,Zaid,Black,7.25,101,11,138,1014,28.74,40,Drip,Moong,2.96,Arhar,6.78
Delhi,Kharif,Sandy,6.3,24,46,146,1449,35.83,64,Drip,Sugarcane,9.51,Sugarcane,3.42
Bihar,Zaid,Loamy,7.79,43,90,129,258,36.84,61,Drip,Cotton,4.54,Pea,5.78
Bihar,Kharif,Sandy,6.27,41,13,38,1332,30.74,66,Sprinkler,Pea,0.67,Sugarcane,4.37
Punjab,Kharif,Alluvial,8.24,104,51,109,240,18.22,46,Tube Well,Cotton,4.35,Pea,5.61
Jharkhand,Zaid,Sandy,5.82,105,94,36,845,31.97,63,Rainfed,Cotton,6.2,Sugarcane,4.95
Madhya Pradesh,Zaid,Red,7.5,141,55,73,329,14.99,72,Tube Well,Sugarcane,2.25,Mustard,4.93
Punjab,Zaid,Clay,5.7,30,49,20,875,31.57,68,Sprinkler,Wheat,6.3,Onion,2.41
Haryana,Kharif,Clay,8.35,74,33,78,950,17.87,64,Sprinkler,Cotton,8.49,Masoor,4.35
Delhi,Kharif,Red,6.92,92,82,49,1240,22.38,72,Tube Well,Maize,6.18,Rice,4.95
Bihar,Zaid,Black,6.88,54,12,117,371,39.03,67,Tube Well,Gram,6.11,Maize,2.38
Madhya Pradesh,Rabi,Sandy,8.25,36,83,66,211,26.26,53,Tube Well,Groundnut,7.7,Masoor,2.17
Bihar,Zaid,Black,7.42,100,96,127,1175,35.48,54,Tube Well,Pea,9.08,Barley,8.2
Chhattisgarh,Kharif,Sandy,5.65,45,56,41,977,27.65,46,Tube Well,Masoor,2.22,Wheat,4.46
Delhi,Kharif,Loamy,7.2,33,88,126,336,15.78,37,Rainfed,Barley,9.73,Maize,3.77
Jammu and Kashmir,Zaid,Clay,8.09,122,26,23,1382,20.94,73,Rainfed,Groundnut,1.65,Arhar,5.96
Bihar,Kharif,Sandy,5.73,56,52,117,238,19.46,78,Drip,Bajra,5.61,Mustard,4.14
Jammu and Kashmir,Rabi,Black,7.06,127,75,64,938,36.1,59,Rainfed,Soybean,0.5,Rice,6.99
Punjab,Kharif,Clay,6.06,37,41,105,1262,10.28,58,Rainfed,Arhar,7.79,Arhar,3.95
Jharkhand,Zaid,Black,7.38,140,19,112,539,32.13,59,Tube Well,Onion,0.53,Maize,2.61
Jharkhand,Kharif,Black,6.9,139,39,77,345,17.01,54,Sprinkler,Mustard,3.13,Moong,4.53
Himachal Pradesh,Zaid,Red,5.87,56,70,133,909,39.47,75,Sprinkler,Masoor,6.21,Moong,3.87
Haryana,Kharif,Alluvial,8.21,71,13,68,1084,34.92,75,Drip,Pea,2.69,Masoor,3.34
Jammu and Kashmir,Rabi,Sandy,6.06,22,15,14,253,39.07,78,Drip,Sugarcane,5.42,Bajra,0.24
Jharkhand,Rabi,Sandy,7.29,80,44,91,261,39.89,32,Tube Well,Onion,8.25,Pea,2.84
Jharkhand,Zaid,Clay,7.11,92,77,110,1490,36.32,32,Drip,Masoor,3.09,Masoor,6.32
Uttar Pradesh,Rabi,Red,6.93,95,51,18,239,37.95,40,Sprinkler,Arhar,1.33,Soybean,1.54
Chhattisgarh,Kharif,Sandy,6.28,109,27,46,1172,36.83,42,Rainfed,Arhar,8.59,Groundnut,3.77
Rajasthan,Zaid,Black,6.99,81,67,76,1263,30.34,56,Tube Well,Mustard,8.71,Groundnut,6.06
Chhattisgarh,Zaid,Red,8.1,111,68,68,1015,31.25,72,Rainfed,Sugarcane,2.77,Pea,7.13
Rajasthan,Rabi,Alluvial,8.29,119,72,16,332,36.43,87,Sprinkler,Moong,4.92,Maize,3.1
Bihar,Zaid,Black,8.23,101,11,86,494,15.79,42,Canal,Potato,6.36,Potato,4.06
Uttarakhand,Kharif,Clay,8.44,36,69,97,564,33.4,35,Canal,Masoor,3.19,Rice,3.09
Jammu and Kashmir,Kharif,Sandy,8.02,79,88,46,1188,33.66,49,Drip,Arhar,7.03,Wheat,4.9
Uttar Pradesh,Zaid,Red,5.7,36,21,147,1085,20.38,55,Canal,Arhar,1.21,Cotton,3.44
Haryana,Zaid,Red,7.44,144,85,16,228,10.66,35,Rainfed,Bajra,4.03,Potato,6.46
Uttar Pradesh,Zaid,Loamy,7.96,77,96,35,937,39.91,46,Canal,Wheat,1.47,Pea,4.81
Jharkhand,Kharif,Loamy,7.98,94,41,139,1173,16.9,40,Drip,Moong,3.1,Wheat,6.91
Uttar Pradesh,Zaid,Sandy,8.35,111,30,56,1068,29.16,35,Tube Well,Arhar,7.72,Onion,2.84
Delhi,Kharif,Sandy,6.46,34,43,73,1208,29.55,41,Drip,Soybean,5.85,Wheat,3.63
Madhya Pradesh,Rabi,Clay,6.91,46,81,69,629,16.11,58,Tube Well,Masoor,7.88,Moong,4.61
Himachal Pradesh,Zaid,Red,7.78,112,73,33,577,28.5,75,Rainfed,Groundnut,4.89,Potato,4.88
Punjab,Kharif,Loamy,5.5,36,93,18,1216,14.82,51,Tube Well,Bajra,6.03,Rice,4.82
Madhya Pradesh,Zaid,Alluvial,6.43,91,30,27,537,24.4,60,Drip,Groundnut,7.36,Cotton,2.68
Rajasthan,Rabi,Alluvial,7.47,52,50,145,978,24.42,53,Tube Well,Sugarcane,1.89,Soybean,5.12
Uttarakhand,Rabi,Loamy,5.56,73,95,101,872,26.79,61,Rainfed,Maize,9.44,Jowar,4.01
Haryana,Zaid,Black,5.72,52,86,86,315,20.73,68,Sprinkler,Cotton,1.76,Mustard,4.98
Delhi,Zaid,Red,7.9,125,53,58,516,31.19,35,Drip,Onion,6.15,Maize,5.1
Bihar,Zaid,Alluvial,7.35,60,85,17,1307,20.18,88,Tube Well,Arhar,5.1,Cotton,5.74
Delhi,Kharif,Alluvial,7.29,41,35,136,714,11.22,89,Tube Well,Potato,7.45,Rice,5.96
Rajasthan,Kharif,Red,5.74,31,96,21,1108,24.38,80,Canal,Rice,2.58,Pea,4.38
Uttarakhand,Kharif,Loamy,7.48,70,53,91,1113,29.6,66,Canal,Wheat,9.97,Rice,4.52
Punjab,Kharif,Alluvial,8.42,54,70,102,1430,17.73,41,Tube Well,Masoor,2.15,Onion,5.21
Haryana,Zaid,Black,8.04,56,13,117,731,25.15,79,Drip,Cotton,8.74,Wheat,3.93
Uttarakhand,Kharif,Loamy,7.24,136,75,88,1131,22.65,71,Sprinkler,Masoor,9.93,Wheat,5.98
Uttar Pradesh,Kharif,Loamy,6.65,37,49,30,1110,17.07,55,Tube Well,Moong,7.3,Wheat,2.46
Himachal Pradesh,Kharif,Black,8.23,106,51,23,533,25.38,66,Sprinkler,Pea,8.62,Gram,1.92
Bihar,Zaid,Red,8.11,130,23,93,329,12.86,46,Sprinkler,Bajra,4.22,Maize,3.93
Jharkhand,Rabi,Alluvial,8.41,85,44,14,659,13.93,74,Tube Well,Moong,2.75,Maize,3.55
Jammu and Kashmir,Zaid,Loamy,6.83,99,83,102,1043,34.87,30,Drip,Rice,4.77,Bajra,5.95
Jammu and Kashmir,Kharif,Clay,7.26,20,66,73,1085,15.03,86,Canal,Onion,6.25,Maize,4.66
Delhi,Zaid,Black,7.85,139,53,65,355,35.93,35,Tube Well,Onion,2.46,Arhar,2.36
Chhattisgarh,Rabi,Red,5.84,133,87,139,1168,25.94,49,Drip,Mustard,0.99,Soybean,5.87
Punjab,Kharif,Clay,6.04,78,78,21,689,21.92,79,Rainfed,Jowar,9.67,Cotton,4.47
Jharkhand,Rabi,Clay,5.51,69,38,48,1446,17.63,72,Rainfed,Sugarcane,5.14,Barley,3.71
Jharkhand,Zaid,Black,5.59,64,61,89,945,31.99,37,Tube Well,Pea,9.71,Wheat,4.67
Delhi,Kharif,Alluvial,5.78,27,38,105,716,38.9,76,Sprinkler,Pea,7.08,Wheat,2.95
Uttar Pradesh,Zaid,Clay,7.35,66,85,81,544,30.69,62,Tube Well,Wheat,6.21,Sugarcane,6.32
Himachal Pradesh,Rabi,Clay,8.32,72,57,78,560,13.2,57,Rainfed,Maize,2.01,Moong,1.92
Delhi,Zaid,Black,8.1,108,57,22,784,12.71,60,Rainfed,Groundnut,7.52,Mustard,5.18
Delhi,Rabi,Loamy,8.14,144,13,111,218,34.24,47,Canal,Groundnut,8.84,Potato,4.84
Haryana,Zaid,Black,6.63,73,80,98,924,19.74,41,Drip,Mustard,6.29,Soybean,4.91
Uttar Pradesh,Rabi,Loamy,7.19,79,98,58,935,21.2,73,Canal,Arhar,0.64,Wheat,4.22
Bihar,Rabi,Clay,7.43,28,12,94,527,25.57,35,Sprinkler,Arhar,9.19,Gram,2.83
Jharkhand,Zaid,Loamy,7.94,31,14,57,1174,26.01,44,Sprinkler,Onion,4.25,Jowar,4.9
Jammu and Kashmir,Rabi,Red,7.65,40,32,116,1214,36.9,82,Drip,Cotton,9.03,Soybean,4.87
Delhi,Rabi,Sandy,6.23,70,24,77,988,24.38,48,Drip,Bajra,1.46,Jowar,2.43
Delhi,Zaid,Black,6.35,46,38,44,1367,12.69,59,Sprinkler,Maize,7.3,Onion,4.24
Uttar Pradesh,Zaid,Clay,6.32,109,98,103,1486,30.43,39,Drip,Wheat,8.1,Wheat,6.73
Himachal Pradesh,Rabi,Black,7.88,61,65,45,1307,24.51,36,Rainfed,Pea,8.25,Gram,3.92
Jharkhand,Zaid,Red,6.62,125,56,132,340,28.05,83,Canal,Jowar,5.39,Barley,6.48
Jharkhand,Rabi,Sandy,7.44,141,51,81,351,20.6,55,Rainfed,Onion,2.93,Masoor,5.3
Jharkhand,Rabi,Black,6.41,38,69,98,345,33.0,39,Tube Well,Jowar,4.79,Jowar,1.98
Chhattisgarh,Rabi,Sandy,7.71,138,30,46,618,28.21,61,Rainfed,Barley,6.56,Jowar,4.86
Bihar,Kharif,Clay,6.27,96,66,11,462,30.85,32,Tube Well,Sugarcane,4.71,Barley,5.29
Himachal Pradesh,Kharif,Red,5.55,43,69,55,1441,20.12,61,Rainfed,Gram,3.1,Bajra,4.19
Uttarakhand,Rabi,Alluvial,5.74,116,45,140,272,19.7,88,Sprinkler,Groundnut,3.76,Jowar,3.29
Bihar,Rabi,Alluvial,8.0,24,53,36,359,26.2,67,Rainfed,Barley,6.13,Mustard,3.93
Uttarakhand,Zaid,Red,7.54,63,67,12,541,30.08,52,Rainfed,Maize,4.1,Maize,1.25
Haryana,Zaid,Loamy,7.24,55,78,86,486,32.65,84,Rainfed,Bajra,5.59,Bajra,3.35
Himachal Pradesh,Zaid,Black,5.79,140,64,21,856,19.03,37,Canal,Onion,8.06,Masoor,3.98
Rajasthan,Kharif,Black,8.48,123,74,130,485,25.63,35,Canal,Arhar,2.94,Jowar,4.78
Bihar,Rabi,Red,7.86,51,42,25,659,33.46,63,Rainfed,Sugarcane,1.1,Sugarcane,2.5
Rajasthan,Kharif,Loamy,6.53,124,94,11,960,26.61,40,Sprinkler,Rice,8.34,Mustard,5.28
Madhya Pradesh,Zaid,Sandy,6.34,74,15,95,1324,21.73,41,Rainfed,Jowar,9.34,Wheat,5.05
Himachal Pradesh,Zaid,Black,6.64,86,89,16,1147,34.56,44,Rainfed,Barley,4.33,Cotton,5.23
Bihar,Kharif,Clay,6.02,149,44,29,465,34.67,54,Sprinkler,Moong,5.05,Wheat,5.28
Madhya Pradesh,Kharif,Red,5.92,99,63,134,1098,38.58,35,Drip,Rice,1.89,Barley,4.32
Uttarakhand,Kharif,Red,6.6,44,88,77,1396,26.49,61,Canal,Wheat,1.66,Masoor,6.22
Delhi,Zaid,Black,8.13,79,72,143,871,16.48,31,Rainfed,Potato,6.68,Gram,5.41
Himachal Pradesh,Rabi,Red,5.96,24,92,19,544,11.74,40,Canal,Jowar,7.67,Jowar,1.12
Jammu and Kashmir,Kharif,Loamy,6.79,118,30,82,1379,19.1,80,Rainfed,Bajra,2.19,Arhar,7.17
Uttar Pradesh,Kharif,Black,7.57,116,13,13,984,16.98,89,Canal,Sugarcane,3.41,Mustard,4.83
Jammu and Kashmir,Zaid,Alluvial,6.78,82,72,71,967,15.84,36,Rainfed,Masoor,5.49,Pea,7.54
Uttar Pradesh,Rabi,Alluvial,6.94,105,14,139,604,10.58,44,Drip,Pea,6.03,Bajra,3.88
Uttarakhand,Zaid,Sandy,7.36,32,94,91,372,11.28,46,Tube Well,Pea,1.54,Barley,4.1
Delhi,Kharif,Black,7.14,71,64,126,709,14.5,81,Rainfed,Groundnut,2.81,Mustard,6.08
Jharkhand,Rabi,Black,7.34,61,30,51,596,13.99,46,Canal,Wheat,6.76,Cotton,3.74
Uttar Pradesh,Kharif,Black,8.33,149,69,57,228,18.38,79,Canal,Groundnut,0.87,Sugarcane,4.29
Jammu and Kashmir,Rabi,Alluvial,7.41,53,17,88,1155,23.52,74,Tube Well,Bajra,1.93,Groundnut,5.22
Uttar Pradesh,Rabi,Alluvial,7.71,106,17,86,1423,12.54,72,Tube Well,Mustard,6.76,Moong,5.6
Uttarakhand,Zaid,Clay,5.61,40,67,119,1451,20.49,44,Tube Well,Onion,9.45,Soybean,5.3
Bihar,Kharif,Alluvial,7.85,70,67,14,972,29.81,61,Tube Well,Rice,1.15,Masoor,3.27
Himachal Pradesh,Rabi,Red,7.04,100,17,113,1120,39.28,44,Tube Well,Pea,2.45,Wheat,5.46
Bihar,Rabi,Clay,5.86,145,77,87,368,38.79,84,Tube Well,Masoor,0.9,Mustard,6.55
Jharkhand,Rabi,Red,7.74,51,41,133,1449,13.84,44,Tube Well,Arhar,1.55,Moong,7.29
Bihar,Zaid,Loamy,7.3,78,87,133,1184,14.91,81,Sprinkler,Maize,2.79,Masoor,6.19
Rajasthan,Zaid,Black,8.16,139,30,131,1445,35.84,78,Rainfed,Groundnut,2.96,Sugarcane,6.57
Jharkhand,Zaid,Alluvial,7.13,145,17,55,437,33.29,73,Rainfed,Masoor,1.01,Onion,5.64
Uttarakhand,Rabi,Red,6.31,111,38,22,969,13.95,44,Rainfed,Onion,1.37,Cotton,3.8
Madhya Pradesh,Zaid,Black,8.4,107,53,31,620,27.71,85,Sprinkler,Jowar,6.31,Onion,3.95
Jammu and Kashmir,Zaid,Black,8.13,130,17,115,1409,10.28,30,Canal,Arhar,7.55,Gram,5.4
Himachal Pradesh,Rabi,Red,8.14,123,73,115,672,26.65,75,Drip,Bajra,6.35,Masoor,4.96
Jharkhand,Rabi,Sandy,7.85,105,99,67,765,34.98,43,Sprinkler,Arhar,2.42,Mustard,4.25
Bihar,Kharif,Black,8.37,140,29,84,1214,24.11,48,Tube Well,Cotton,9.97,Potato,5.0
Haryana,Kharif,Sandy,7.67,43,35,46,1021,30.87,50,Rainfed,Masoor,0.78,Barley,1.46
Madhya Pradesh,Rabi,Black,6.0,76,54,29,472,27.65,33,Drip,Moong,5.35,Sugarcane,2.53
